gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,math_score_sqrt,reading_score_sqrt,writing_score_sqrt
male,group E,some college,standard,completed,99,87,81,9.9498743710662,9.327379053088816,9.0
male,group C,some high school,standard,none,51,52,44,7.14142842854285,7.211102550927978,6.6332495807108
female,group B,associate's degree,free/reduced,none,53,71,67,7.280109889280518,8.426149773176359,8.18535277187245
female,group D,high school,free/reduced,none,49,57,52,7.0,7.54983443527075,7.211102550927978
female,group B,associate's degree,standard,none,73,76,80,8.54400374531753,8.717797887081348,8.94427190999916
male,group B,bachelor's degree,standard,none,66,60,57,8.12403840463596,7.745966692414834,7.54983443527075
male,group D,bachelor's degree,standard,completed,67,61,68,8.18535277187245,7.810249675906654,8.246211251235321
female,group C,associate's degree,free/reduced,completed,68,67,69,8.246211251235321,8.18535277187245,8.306623862918075
female,group C,bachelor's degree,standard,completed,59,64,75,7.681145747868608,8.0,8.660254037844387
male,group C,high school,standard,none,71,66,65,8.426149773176359,8.12403840463596,8.06225774829855
female,group D,master's degree,standard,completed,77,82,91,8.774964387392123,9.055385138137417,9.539392014169456
male,group C,associate's degree,standard,none,83,72,78,9.1104335791443,8.48528137423857,8.831760866327848
male,group B,bachelor's degree,standard,none,63,71,69,7.937253933193772,8.426149773176359,8.306623862918075
female,group D,associate's degree,free/reduced,none,56,65,63,7.483314773547883,8.06225774829855,7.937253933193772
female,group C,high school,free/reduced,completed,67,79,84,8.18535277187245,8.888194417315589,9.16515138991168
female,group E,high school,standard,none,75,86,79,8.660254037844387,9.273618495495704,8.888194417315589
female,group C,some college,standard,none,71,81,80,8.426149773176359,9.0,8.94427190999916
female,group C,some high school,free/reduced,none,43,53,53,6.557438524302,7.280109889280518,7.280109889280518
female,group C,high school,free/reduced,none,41,46,43,6.4031242374328485,6.782329983125268,6.557438524302
female,group C,some college,standard,none,82,90,94,9.055385138137417,9.486832980505138,9.695359714832659
male,group C,some college,standard,none,61,61,62,7.810249675906654,7.810249675906654,7.874007874011811
male,group A,some college,free/reduced,none,28,23,19,5.291502622129181,4.795831523312719,4.358898943540674
male,group C,associate's degree,standard,completed,82,75,77,9.055385138137417,8.660254037844387,8.774964387392123
female,group B,some high school,standard,none,41,55,51,6.4031242374328485,7.416198487095663,7.14142842854285
male,group C,high school,standard,none,71,60,61,8.426149773176359,7.745966692414834,7.810249675906654
male,group C,associate's degree,standard,none,47,37,35,6.855654600401044,6.082762530298219,5.916079783099616
male,group E,associate's degree,standard,completed,62,56,53,7.874007874011811,7.483314773547883,7.280109889280518
male,group B,associate's degree,standard,none,90,78,81,9.486832980505138,8.831760866327848,9.0
female,group C,bachelor's degree,standard,none,83,93,95,9.1104335791443,9.643650760992955,9.746794344808963
female,group B,some college,free/reduced,none,61,68,66,7.810249675906654,8.246211251235321,8.12403840463596
male,group D,some high school,standard,completed,76,70,69,8.717797887081348,8.366600265340756,8.306623862918075
male,group C,associate's degree,standard,none,49,51,43,7.0,7.14142842854285,6.557438524302
female,group B,some high school,free/reduced,none,24,38,27,4.898979485566356,6.164414002968976,5.196152422706632
female,group D,some high school,free/reduced,completed,35,55,60,5.916079783099616,7.416198487095663,7.745966692414834
male,group C,high school,free/reduced,none,58,61,52,7.615773105863909,7.810249675906654,7.211102550927978
female,group C,high school,standard,none,61,73,63,7.810249675906654,8.54400374531753,7.937253933193772
female,group B,high school,standard,completed,69,76,74,8.306623862918075,8.717797887081348,8.602325267042627
male,group D,associate's degree,standard,completed,67,72,67,8.18535277187245,8.48528137423857,8.18535277187245
male,group D,some college,standard,none,79,73,67,8.888194417315589,8.54400374531753,8.18535277187245
female,group C,high school,standard,none,72,80,75,8.48528137423857,8.94427190999916,8.660254037844387
male,group B,some college,standard,none,62,61,57,7.874007874011811,7.810249675906654,7.54983443527075
female,group C,bachelor's degree,standard,completed,77,94,95,8.774964387392123,9.695359714832659,9.746794344808963
male,group D,high school,free/reduced,none,75,74,66,8.660254037844387,8.602325267042627,8.12403840463596
male,group E,associate's degree,standard,none,87,74,76,9.327379053088816,8.602325267042627,8.717797887081348
female,group B,bachelor's degree,standard,none,52,65,69,7.211102550927978,8.06225774829855,8.306623862918075
male,group E,some college,standard,none,66,57,52,8.12403840463596,7.54983443527075,7.211102550927978
female,group C,some college,standard,completed,63,78,80,7.937253933193772,8.831760866327848,8.94427190999916
female,group C,associate's degree,standard,none,46,58,57,6.782329983125268,7.615773105863909,7.54983443527075
female,group C,some college,standard,none,59,71,70,7.681145747868608,8.426149773176359,8.366600265340756
female,group B,bachelor's degree,standard,none,61,72,70,7.810249675906654,8.48528137423857,8.366600265340756
male,group A,associate's degree,standard,none,63,61,61,7.937253933193772,7.810249675906654,7.810249675906654
female,group C,some college,free/reduced,completed,42,66,69,6.48074069840786,8.12403840463596,8.306623862918075
male,group D,some college,free/reduced,none,59,62,61,7.681145747868608,7.874007874011811,7.810249675906654
female,group D,some college,standard,none,80,90,89,8.94427190999916,9.486832980505138,9.433981132056603
female,group B,high school,standard,none,58,62,59,7.615773105863909,7.874007874011811,7.681145747868608
male,group B,some high school,standard,completed,85,84,78,9.219544457292887,9.16515138991168,8.831760866327848
female,group C,some college,standard,none,52,58,58,7.211102550927978,7.615773105863909,7.615773105863909
female,group D,some high school,free/reduced,none,27,34,32,5.196152422706632,5.830951894845301,5.656854249492381
male,group C,some college,standard,none,59,60,58,7.681145747868608,7.745966692414834,7.615773105863909
male,group A,bachelor's degree,free/reduced,completed,49,58,60,7.0,7.615773105863909,7.745966692414834
male,group C,high school,standard,completed,69,58,53,8.306623862918075,7.615773105863909,7.280109889280518
male,group C,bachelor's degree,free/reduced,none,61,66,61,7.810249675906654,8.12403840463596,7.810249675906654
female,group A,some high school,free/reduced,none,44,64,58,6.6332495807108,8.0,7.615773105863909
female,group D,some high school,standard,none,73,84,85,8.54400374531753,9.16515138991168,9.219544457292887
male,group E,some college,standard,none,84,77,71,9.16515138991168,8.774964387392123,8.426149773176359
female,group C,some college,free/reduced,completed,45,73,70,6.708203932499369,8.54400374531753,8.366600265340756
male,group D,some high school,standard,none,74,74,72,8.602325267042627,8.602325267042627,8.48528137423857
female,group D,some college,standard,completed,82,97,96,9.055385138137417,9.848857801796104,9.797958971132712
female,group D,bachelor's degree,standard,none,59,70,73,7.681145747868608,8.366600265340756,8.54400374531753
male,group E,associate's degree,free/reduced,none,46,43,41,6.782329983125268,6.557438524302,6.4031242374328485
female,group D,some high school,standard,none,80,90,82,8.94427190999916,9.486832980505138,9.055385138137417
female,group D,master's degree,free/reduced,completed,85,95,100,9.219544457292887,9.746794344808963,10.0
female,group A,some high school,standard,none,71,83,77,8.426149773176359,9.1104335791443,8.774964387392123
male,group A,bachelor's degree,standard,none,66,64,62,8.12403840463596,8.0,7.874007874011811
female,group B,associate's degree,standard,none,80,86,83,8.94427190999916,9.273618495495704,9.1104335791443
male,group C,associate's degree,standard,completed,87,100,95,9.327379053088816,10.0,9.746794344808963
male,group C,master's degree,free/reduced,none,79,81,71,8.888194417315589,9.0,8.426149773176359
female,group E,some high school,free/reduced,none,38,49,45,6.164414002968976,7.0,6.708203932499369
female,group A,some high school,free/reduced,none,38,43,43,6.164414002968976,6.557438524302,6.557438524302
female,group E,some college,standard,none,67,76,75,8.18535277187245,8.717797887081348,8.660254037844387
female,group E,bachelor's degree,standard,none,64,73,70,8.0,8.54400374531753,8.366600265340756
female,group C,associate's degree,free/reduced,none,57,78,67,7.54983443527075,8.831760866327848,8.18535277187245
female,group D,high school,standard,none,62,64,64,7.874007874011811,8.0,8.0
male,group D,master's degree,standard,none,73,70,75,8.54400374531753,8.366600265340756,8.660254037844387
male,group E,some high school,free/reduced,completed,73,67,59,8.54400374531753,8.18535277187245,7.681145747868608
female,group D,some college,standard,none,77,68,77,8.774964387392123,8.246211251235321,8.774964387392123
male,group E,some college,standard,none,76,67,67,8.717797887081348,8.18535277187245,8.18535277187245
male,group C,associate's degree,standard,completed,57,54,56,7.54983443527075,7.3484692283495345,7.483314773547883
female,group C,some high school,standard,completed,65,74,77,8.06225774829855,8.602325267042627,8.774964387392123
male,group A,high school,free/reduced,none,48,45,41,6.928203230275509,6.708203932499369,6.4031242374328485
female,group B,high school,free/reduced,none,50,67,63,7.0710678118654755,8.18535277187245,7.937253933193772
female,group C,associate's degree,standard,none,85,89,95,9.219544457292887,9.433981132056603,9.746794344808963
male,group B,some high school,standard,none,74,63,57,8.602325267042627,7.937253933193772,7.54983443527075
male,group D,some high school,standard,none,60,59,54,7.745966692414834,7.681145747868608,7.3484692283495345
female,group C,some high school,standard,completed,59,54,67,7.681145747868608,7.3484692283495345,8.18535277187245
male,group A,some college,standard,none,53,43,43,7.280109889280518,6.557438524302,6.557438524302
female,group A,some college,free/reduced,none,49,65,55,7.0,8.06225774829855,7.416198487095663
female,group D,high school,standard,completed,88,99,100,9.38083151964686,9.9498743710662,10.0
female,group C,high school,standard,none,54,59,62,7.3484692283495345,7.681145747868608,7.874007874011811
female,group C,some high school,standard,none,63,73,68,7.937253933193772,8.54400374531753,8.246211251235321
male,group B,associate's degree,standard,completed,65,65,63,8.06225774829855,8.06225774829855,7.937253933193772
female,group B,associate's degree,standard,none,82,80,77,9.055385138137417,8.94427190999916,8.774964387392123
female,group D,high school,free/reduced,completed,52,57,56,7.211102550927978,7.54983443527075,7.483314773547883
male,group D,associate's degree,standard,completed,87,84,85,9.327379053088816,9.16515138991168,9.219544457292887
female,group D,master's degree,standard,completed,70,71,74,8.366600265340756,8.426149773176359,8.602325267042627
male,group E,some college,standard,completed,84,83,78,9.16515138991168,9.1104335791443,8.831760866327848
male,group D,associate's degree,standard,none,71,66,60,8.426149773176359,8.12403840463596,7.745966692414834
male,group B,some high school,standard,completed,63,67,67,7.937253933193772,8.18535277187245,8.18535277187245
female,group C,bachelor's degree,free/reduced,completed,51,72,79,7.14142842854285,8.48528137423857,8.888194417315589
male,group E,high school,standard,none,84,73,69,9.16515138991168,8.54400374531753,8.306623862918075
male,group C,bachelor's degree,standard,completed,71,74,68,8.426149773176359,8.602325267042627,8.246211251235321
male,group C,associate's degree,standard,none,74,73,67,8.602325267042627,8.54400374531753,8.18535277187245
male,group D,some college,standard,none,68,59,62,8.246211251235321,7.681145747868608,7.874007874011811
male,group E,high school,free/reduced,completed,57,56,54,7.54983443527075,7.483314773547883,7.3484692283495345
female,group C,associate's degree,free/reduced,completed,82,93,93,9.055385138137417,9.643650760992955,9.643650760992955
female,group D,high school,standard,completed,57,58,64,7.54983443527075,7.615773105863909,8.0
female,group D,master's degree,free/reduced,completed,47,58,67,6.855654600401044,7.615773105863909,8.18535277187245
female,group A,some high school,standard,completed,59,85,80,7.681145747868608,9.219544457292887,8.94427190999916
male,group B,some college,free/reduced,none,41,39,34,6.4031242374328485,6.244997998398398,5.830951894845301
female,group C,some college,free/reduced,none,62,67,62,7.874007874011811,8.18535277187245,7.874007874011811
male,group C,bachelor's degree,standard,none,86,83,86,9.273618495495704,9.1104335791443,9.273618495495704
male,group C,some high school,free/reduced,none,69,71,65,8.306623862918075,8.426149773176359,8.06225774829855
male,group A,some high school,free/reduced,none,65,59,53,8.06225774829855,7.681145747868608,7.280109889280518
male,group C,some high school,free/reduced,none,68,63,54,8.246211251235321,7.937253933193772,7.3484692283495345
male,group C,associate's degree,free/reduced,none,64,66,59,8.0,8.12403840463596,7.681145747868608
female,group C,high school,standard,none,61,72,70,7.810249675906654,8.48528137423857,8.366600265340756
male,group C,high school,standard,none,61,56,55,7.810249675906654,7.483314773547883,7.416198487095663
female,group A,some high school,free/reduced,none,47,59,50,6.855654600401044,7.681145747868608,7.0710678118654755
male,group C,some high school,standard,none,73,66,66,8.54400374531753,8.12403840463596,8.12403840463596
male,group C,some college,free/reduced,completed,50,48,53,7.0710678118654755,6.928203230275509,7.280109889280518
male,group D,associate's degree,standard,none,75,68,64,8.660254037844387,8.246211251235321,8.0
male,group D,associate's degree,free/reduced,none,75,66,73,8.660254037844387,8.12403840463596,8.54400374531753
male,group C,high school,standard,none,70,56,51,8.366600265340756,7.483314773547883,7.14142842854285
male,group D,some high school,standard,completed,89,88,82,9.433981132056603,9.38083151964686,9.055385138137417
female,group C,some college,standard,completed,67,81,79,8.18535277187245,9.0,8.888194417315589
female,group D,high school,standard,none,78,81,80,8.831760866327848,9.0,8.94427190999916
female,group A,some high school,free/reduced,none,59,73,69,7.681145747868608,8.54400374531753,8.306623862918075
female,group B,associate's degree,standard,none,73,83,76,8.54400374531753,9.1104335791443,8.717797887081348
male,group A,some high school,free/reduced,none,79,82,73,8.888194417315589,9.055385138137417,8.54400374531753
female,group C,some high school,standard,completed,67,74,77,8.18535277187245,8.602325267042627,8.774964387392123
male,group D,some college,free/reduced,none,69,66,60,8.306623862918075,8.12403840463596,7.745966692414834
male,group C,high school,standard,completed,86,81,80,9.273618495495704,9.0,8.94427190999916
male,group B,high school,standard,none,47,46,42,6.855654600401044,6.782329983125268,6.48074069840786
male,group B,associate's degree,standard,none,81,73,72,9.0,8.54400374531753,8.48528137423857
female,group C,some college,free/reduced,completed,64,85,85,8.0,9.219544457292887,9.219544457292887
female,group E,some college,standard,none,100,92,97,10.0,9.591663046625438,9.848857801796104
female,group C,associate's degree,free/reduced,none,65,77,74,8.06225774829855,8.774964387392123,8.602325267042627
male,group C,some college,free/reduced,none,65,58,49,8.06225774829855,7.615773105863909,7.0
female,group C,associate's degree,free/reduced,none,53,61,62,7.280109889280518,7.810249675906654,7.874007874011811
male,group C,bachelor's degree,free/reduced,none,37,56,47,6.082762530298219,7.483314773547883,6.855654600401044
female,group D,bachelor's degree,standard,none,79,89,89,8.888194417315589,9.433981132056603,9.433981132056603
male,group D,associate's degree,free/reduced,none,53,54,48,7.280109889280518,7.3484692283495345,6.928203230275509
female,group E,bachelor's degree,standard,none,100,100,100,10.0,10.0,10.0
male,group B,high school,standard,completed,72,65,68,8.48528137423857,8.06225774829855,8.246211251235321
male,group C,bachelor's degree,free/reduced,none,53,58,55,7.280109889280518,7.615773105863909,7.416198487095663
male,group B,some college,free/reduced,none,54,54,45,7.3484692283495345,7.3484692283495345,6.708203932499369
female,group E,some college,standard,none,71,70,76,8.426149773176359,8.366600265340756,8.717797887081348
female,group C,some college,free/reduced,none,77,90,91,8.774964387392123,9.486832980505138,9.539392014169456
male,group A,bachelor's degree,standard,completed,75,58,62,8.660254037844387,7.615773105863909,7.874007874011811
female,group C,some college,standard,none,84,87,91,9.16515138991168,9.327379053088816,9.539392014169456
female,group D,associate's degree,free/reduced,none,26,31,38,5.0990195135927845,5.5677643628300215,6.164414002968976
male,group A,high school,free/reduced,completed,72,67,65,8.48528137423857,8.18535277187245,8.06225774829855
female,group A,high school,free/reduced,completed,77,88,85,8.774964387392123,9.38083151964686,9.219544457292887
male,group C,some college,standard,none,91,74,76,9.539392014169456,8.602325267042627,8.717797887081348
female,group C,associate's degree,standard,completed,83,85,90,9.1104335791443,9.219544457292887,9.486832980505138
female,group C,high school,standard,none,63,69,74,7.937253933193772,8.306623862918075,8.602325267042627
female,group C,associate's degree,standard,completed,68,86,84,8.246211251235321,9.273618495495704,9.16515138991168
female,group D,some high school,standard,none,59,67,61,7.681145747868608,8.18535277187245,7.810249675906654
female,group B,associate's degree,standard,completed,90,90,91,9.486832980505138,9.486832980505138,9.539392014169456
female,group D,bachelor's degree,standard,completed,71,76,83,8.426149773176359,8.717797887081348,9.1104335791443
male,group E,bachelor's degree,standard,completed,76,62,66,8.717797887081348,7.874007874011811,8.12403840463596
male,group D,associate's degree,standard,none,80,68,72,8.94427190999916,8.246211251235321,8.48528137423857
female,group D,master's degree,standard,none,55,64,70,7.416198487095663,8.0,8.366600265340756
male,group E,associate's degree,standard,none,76,71,67,8.717797887081348,8.426149773176359,8.18535277187245
male,group B,high school,standard,completed,73,71,68,8.54400374531753,8.426149773176359,8.246211251235321
female,group D,associate's degree,free/reduced,none,52,59,56,7.211102550927978,7.681145747868608,7.483314773547883
male,group C,some college,free/reduced,none,68,68,61,8.246211251235321,8.246211251235321,7.810249675906654
male,group A,high school,standard,none,59,52,46,7.681145747868608,7.211102550927978,6.782329983125268
female,group B,associate's degree,standard,none,49,52,54,7.0,7.211102550927978,7.3484692283495345
male,group C,high school,standard,none,70,74,71,8.366600265340756,8.602325267042627,8.426149773176359
male,group D,some college,free/reduced,none,61,47,56,7.810249675906654,6.855654600401044,7.483314773547883
female,group C,associate's degree,free/reduced,none,60,75,74,7.745966692414834,8.660254037844387,8.602325267042627
male,group B,some high school,standard,completed,64,53,57,8.0,7.280109889280518,7.54983443527075
male,group A,associate's degree,free/reduced,completed,79,82,82,8.888194417315589,9.055385138137417,9.055385138137417
female,group A,associate's degree,free/reduced,none,65,85,76,8.06225774829855,9.219544457292887,8.717797887081348
female,group C,associate's degree,standard,none,64,64,70,8.0,8.0,8.366600265340756
female,group C,some college,standard,none,83,83,90,9.1104335791443,9.1104335791443,9.486832980505138
female,group C,bachelor's degree,standard,none,81,88,90,9.0,9.38083151964686,9.486832980505138
female,group B,high school,standard,none,54,64,68,7.3484692283495345,8.0,8.246211251235321
male,group D,high school,standard,completed,68,64,66,8.246211251235321,8.0,8.12403840463596
female,group C,some college,standard,none,54,48,52,7.3484692283495345,6.928203230275509,7.211102550927978
female,group D,some college,free/reduced,completed,59,78,76,7.681145747868608,8.831760866327848,8.717797887081348
female,group B,some high school,standard,none,66,69,68,8.12403840463596,8.306623862918075,8.246211251235321
male,group E,some college,standard,none,76,71,72,8.717797887081348,8.426149773176359,8.48528137423857
female,group D,master's degree,standard,none,74,79,82,8.602325267042627,8.888194417315589,9.055385138137417
female,group B,associate's degree,standard,completed,94,87,92,9.695359714832659,9.327379053088816,9.591663046625438
male,group C,some college,free/reduced,none,63,61,54,7.937253933193772,7.810249675906654,7.3484692283495345
female,group E,associate's degree,standard,completed,95,89,92,9.746794344808963,9.433981132056603,9.591663046625438
female,group D,master's degree,free/reduced,none,40,59,54,6.324555320336759,7.681145747868608,7.3484692283495345
female,group B,some high school,standard,none,82,82,80,9.055385138137417,9.055385138137417,8.94427190999916
male,group A,high school,standard,none,68,70,66,8.246211251235321,8.366600265340756,8.12403840463596
male,group B,bachelor's degree,free/reduced,none,55,59,54,7.416198487095663,7.681145747868608,7.3484692283495345
male,group C,master's degree,standard,none,79,78,77,8.888194417315589,8.831760866327848,8.774964387392123
female,group C,bachelor's degree,standard,none,86,92,87,9.273618495495704,9.591663046625438,9.327379053088816
male,group D,some college,standard,none,76,71,73,8.717797887081348,8.426149773176359,8.54400374531753
male,group A,some high school,standard,none,64,50,43,8.0,7.0710678118654755,6.557438524302
male,group D,some high school,free/reduced,none,62,49,52,7.874007874011811,7.0,7.211102550927978
female,group B,some high school,standard,completed,54,61,62,7.3484692283495345,7.810249675906654,7.874007874011811
female,group B,master's degree,free/reduced,completed,77,97,94,8.774964387392123,9.848857801796104,9.695359714832659
female,group C,some high school,standard,completed,76,87,85,8.717797887081348,9.327379053088816,9.219544457292887
female,group D,some college,standard,none,74,89,84,8.602325267042627,9.433981132056603,9.16515138991168
female,group E,some college,standard,completed,66,74,73,8.12403840463596,8.602325267042627,8.54400374531753
female,group D,some high school,standard,completed,66,78,78,8.12403840463596,8.831760866327848,8.831760866327848
female,group B,high school,free/reduced,completed,67,78,79,8.18535277187245,8.831760866327848,8.888194417315589
male,group D,some college,standard,none,71,49,52,8.426149773176359,7.0,7.211102550927978
female,group C,associate's degree,standard,none,91,86,84,9.539392014169456,9.273618495495704,9.16515138991168
male,group D,bachelor's degree,standard,none,69,58,57,8.306623862918075,7.615773105863909,7.54983443527075
male,group C,master's degree,free/reduced,none,54,59,50,7.3484692283495345,7.681145747868608,7.0710678118654755
male,group C,high school,standard,completed,53,52,49,7.280109889280518,7.211102550927978,7.0
male,group E,some college,standard,none,68,60,59,8.246211251235321,7.745966692414834,7.681145747868608
male,group C,some high school,free/reduced,completed,56,61,60,7.483314773547883,7.810249675906654,7.745966692414834
female,group C,high school,free/reduced,none,36,53,43,6.0,7.280109889280518,6.557438524302
female,group D,bachelor's degree,free/reduced,none,29,41,47,5.385164807134504,6.4031242374328485,6.855654600401044
female,group C,associate's degree,standard,none,62,74,70,7.874007874011811,8.602325267042627,8.366600265340756
female,group C,associate's degree,standard,completed,68,67,73,8.246211251235321,8.18535277187245,8.54400374531753
female,group C,some high school,standard,none,47,54,53,6.855654600401044,7.3484692283495345,7.280109889280518
male,group E,associate's degree,standard,completed,62,61,58,7.874007874011811,7.810249675906654,7.615773105863909
female,group E,associate's degree,standard,completed,79,88,94,8.888194417315589,9.38083151964686,9.695359714832659
male,group B,high school,standard,completed,73,69,68,8.54400374531753,8.306623862918075,8.246211251235321
female,group C,bachelor's degree,free/reduced,completed,66,83,83,8.12403840463596,9.1104335791443,9.1104335791443
male,group C,associate's degree,standard,completed,51,60,58,7.14142842854285,7.745966692414834,7.615773105863909
female,group D,high school,standard,none,51,66,62,7.14142842854285,8.12403840463596,7.874007874011811
male,group E,bachelor's degree,standard,completed,85,66,71,9.219544457292887,8.12403840463596,8.426149773176359
male,group A,associate's degree,standard,completed,97,92,86,9.848857801796104,9.591663046625438,9.273618495495704
male,group C,high school,standard,completed,75,69,68,8.660254037844387,8.306623862918075,8.246211251235321
male,group D,associate's degree,free/reduced,completed,79,82,80,8.888194417315589,9.055385138137417,8.94427190999916
female,group C,associate's degree,standard,none,81,77,79,9.0,8.774964387392123,8.888194417315589
female,group D,associate's degree,standard,none,82,95,89,9.055385138137417,9.746794344808963,9.433981132056603
female,group D,master's degree,standard,none,64,63,66,8.0,7.937253933193772,8.12403840463596
male,group E,some high school,free/reduced,completed,78,83,80,8.831760866327848,9.1104335791443,8.94427190999916
female,group A,some high school,standard,completed,92,100,97,9.591663046625438,10.0,9.848857801796104
male,group C,high school,standard,completed,72,67,64,8.48528137423857,8.18535277187245,8.0
female,group C,high school,free/reduced,none,62,67,64,7.874007874011811,8.18535277187245,8.0
male,group C,master's degree,standard,none,79,72,69,8.888194417315589,8.48528137423857,8.306623862918075
male,group C,some high school,free/reduced,none,79,76,65,8.888194417315589,8.717797887081348,8.06225774829855
male,group B,bachelor's degree,free/reduced,completed,87,90,88,9.327379053088816,9.486832980505138,9.38083151964686
female,group B,associate's degree,standard,none,40,48,50,6.324555320336759,6.928203230275509,7.0710678118654755
male,group D,some college,free/reduced,none,77,62,64,8.774964387392123,7.874007874011811,8.0
male,group E,associate's degree,standard,none,53,45,40,7.280109889280518,6.708203932499369,6.324555320336759
female,group C,some college,free/reduced,none,32,39,33,5.656854249492381,6.244997998398398,5.744562646538029
female,group C,associate's degree,standard,completed,55,72,79,7.416198487095663,8.48528137423857,8.888194417315589
male,group C,master's degree,free/reduced,none,61,67,66,7.810249675906654,8.18535277187245,8.12403840463596
female,group B,associate's degree,free/reduced,none,53,70,70,7.280109889280518,8.366600265340756,8.366600265340756
male,group D,some high school,standard,none,73,66,62,8.54400374531753,8.12403840463596,7.874007874011811
female,group D,some college,standard,completed,74,75,79,8.602325267042627,8.660254037844387,8.888194417315589
female,group C,some college,standard,none,63,74,74,7.937253933193772,8.602325267042627,8.602325267042627
male,group C,bachelor's degree,standard,completed,96,90,92,9.797958971132712,9.486832980505138,9.591663046625438
female,group D,some college,free/reduced,completed,63,80,80,7.937253933193772,8.94427190999916,8.94427190999916
male,group B,bachelor's degree,free/reduced,none,48,51,46,6.928203230275509,7.14142842854285,6.782329983125268
male,group B,associate's degree,standard,none,48,43,45,6.928203230275509,6.557438524302,6.708203932499369
female,group E,bachelor's degree,free/reduced,completed,92,100,100,9.591663046625438,10.0,10.0
female,group D,master's degree,free/reduced,completed,61,71,78,7.810249675906654,8.426149773176359,8.831760866327848
male,group B,high school,free/reduced,none,63,48,47,7.937253933193772,6.928203230275509,6.855654600401044
male,group D,bachelor's degree,free/reduced,none,68,68,67,8.246211251235321,8.246211251235321,8.18535277187245
male,group B,some college,standard,completed,71,75,70,8.426149773176359,8.660254037844387,8.366600265340756
male,group A,bachelor's degree,standard,none,91,96,92,9.539392014169456,9.797958971132712,9.591663046625438
female,group C,some college,standard,none,53,62,56,7.280109889280518,7.874007874011811,7.483314773547883
female,group C,high school,free/reduced,completed,50,66,64,7.0710678118654755,8.12403840463596,8.0
female,group E,high school,standard,none,74,81,71,8.602325267042627,9.0,8.426149773176359
male,group A,associate's degree,free/reduced,completed,40,55,53,6.324555320336759,7.416198487095663,7.280109889280518
male,group A,some college,standard,completed,61,51,52,7.810249675906654,7.14142842854285,7.211102550927978
female,group B,high school,standard,none,81,91,89,9.0,9.539392014169456,9.433981132056603
female,group B,some college,free/reduced,completed,48,56,58,6.928203230275509,7.483314773547883,7.615773105863909
female,group D,master's degree,standard,none,53,61,68,7.280109889280518,7.810249675906654,8.246211251235321
female,group D,some high school,standard,none,81,97,96,9.0,9.848857801796104,9.797958971132712
female,group E,some high school,standard,none,77,79,80,8.774964387392123,8.888194417315589,8.94427190999916
female,group D,bachelor's degree,free/reduced,none,63,73,78,7.937253933193772,8.54400374531753,8.831760866327848
female,group D,associate's degree,standard,completed,73,75,80,8.54400374531753,8.660254037844387,8.94427190999916
female,group D,some college,standard,none,69,77,77,8.306623862918075,8.774964387392123,8.774964387392123
female,group C,associate's degree,standard,none,65,76,76,8.06225774829855,8.717797887081348,8.717797887081348
female,group A,high school,standard,none,55,73,73,7.416198487095663,8.54400374531753,8.54400374531753
female,group C,bachelor's degree,free/reduced,none,44,63,62,6.6332495807108,7.937253933193772,7.874007874011811
female,group C,some college,standard,none,54,64,65,7.3484692283495345,8.0,8.06225774829855
female,group A,some high school,standard,none,48,66,65,6.928203230275509,8.12403840463596,8.06225774829855
male,group C,some college,free/reduced,none,58,57,54,7.615773105863909,7.54983443527075,7.3484692283495345
male,group A,some high school,standard,none,71,62,50,8.426149773176359,7.874007874011811,7.0710678118654755
male,group E,bachelor's degree,standard,none,68,68,64,8.246211251235321,8.246211251235321,8.0
female,group E,high school,standard,none,74,76,73,8.602325267042627,8.717797887081348,8.54400374531753
female,group C,bachelor's degree,standard,completed,92,100,99,9.591663046625438,10.0,9.9498743710662
female,group C,bachelor's degree,standard,completed,56,79,72,7.483314773547883,8.888194417315589,8.48528137423857
male,group B,high school,free/reduced,none,30,24,15,5.477225575051661,4.898979485566356,3.872983346207417
male,group A,some high school,standard,none,53,54,48,7.280109889280518,7.3484692283495345,6.928203230275509
female,group D,high school,standard,none,69,77,73,8.306623862918075,8.774964387392123,8.54400374531753
female,group D,some high school,standard,none,65,82,81,8.06225774829855,9.055385138137417,9.0
female,group D,master's degree,standard,none,54,60,63,7.3484692283495345,7.745966692414834,7.937253933193772
female,group C,high school,standard,none,29,29,30,5.385164807134504,5.385164807134504,5.477225575051661
female,group E,some college,standard,none,76,78,80,8.717797887081348,8.831760866327848,8.94427190999916
male,group D,high school,free/reduced,none,60,57,51,7.745966692414834,7.54983443527075,7.14142842854285
male,group D,master's degree,free/reduced,completed,84,89,90,9.16515138991168,9.433981132056603,9.486832980505138
male,group C,some high school,standard,none,75,72,62,8.660254037844387,8.48528137423857,7.874007874011811
female,group C,associate's degree,standard,none,85,84,82,9.219544457292887,9.16515138991168,9.055385138137417
female,group C,master's degree,free/reduced,none,40,58,54,6.324555320336759,7.615773105863909,7.3484692283495345
female,group E,some college,standard,none,61,64,62,7.810249675906654,8.0,7.874007874011811
female,group B,associate's degree,standard,none,58,63,65,7.615773105863909,7.937253933193772,8.06225774829855
male,group D,some college,free/reduced,completed,69,60,63,8.306623862918075,7.745966692414834,7.937253933193772
female,group C,some college,standard,none,58,59,66,7.615773105863909,7.681145747868608,8.12403840463596
male,group C,bachelor's degree,standard,completed,94,90,91,9.695359714832659,9.486832980505138,9.539392014169456
